ID,Item,Damage_Rate,Cost,Company_Info,Report_Date,Completion_Date,Repair_Days
EST_00001,보호펜스,3,173000,신세계시설관리,2020-01-01,2020-03-14,73
EST_00002,축구골대,3,3168000,우신산업,2020-01-01,2020-04-15,105
EST_00003,농구대,2,799000,신세계토목,2020-01-01,2020-02-15,45
EST_00004,농구대,3,1780000,국토개발,2020-01-02,2020-04-17,106
EST_00005,그네,2,1059000,신세계건설,2020-01-02,2020-04-05,94
EST_00006,농구대,2,695000,미래안전,2020-01-02,2020-02-25,54
EST_00007,미끄럼틀,3,4473000,대명테크,2020-01-02,2020-05-29,148
EST_00008,등받이없는벤치,3,531000,한성건설,2020-01-02,2020-02-14,43
EST_00009,달리기,1,720000,한성안전,2020-01-03,2020-02-03,31
EST_00010,보호펜스,2,101000,현대건설,2020-01-03,2020-02-13,41
EST_00011,트랜치,3,206000,동화시스템,2020-01-03,2020-02-03,31
EST_00012,미끄럼틀,2,2350000,한성시설관리,2020-01-03,2020-04-05,93
EST_00013,보호시설물볼라드,3,284000,대명건설,2020-01-04,2020-02-28,55
EST_00014,축구골대,2,1333000,우신테크,2020-01-04,2020-02-26,53
EST_00015,등받이있는벤치,3,531000,신세계조경,2020-01-04,2020-02-18,45
EST_00016,맨홀,2,542000,중앙테크,2020-01-05,2020-02-06,32
EST_00017,보호시설물무단횡단방지시설,1,95000,미래시설관리,2020-01-05,2020-01-30,25
EST_00018,그네,2,1317000,동화시설관리,2020-01-05,2020-03-18,73
EST_00019,등받이있는벤치,1,200000,우신조경,2020-01-05,2020-01-22,17
EST_00020,보호시설물무단횡단방지시설,3,458000,태영테크,2020-01-05,2020-02-29,55
EST_00021,보호시설물볼라드,1,45000,중앙테크,2020-01-06,2020-01-21,15
EST_00022,점자블록,3,63000,중앙산업,2020-01-06,2020-02-06,31
EST_00023,보도블록,2,22000,대명시설관리,2020-01-06,2020-01-22,16
EST_00024,보호펜스,3,180000,에코시설,2020-01-06,2020-03-14,68
EST_00025,그네,2,887000,한성시설관리,2020-01-06,2020-03-15,69
EST_00026,등받이있는벤치,2,263000,대명건설,2020-01-06,2020-02-04,29
EST_00027,트랜치,2,125000,중앙건설,2020-01-07,2020-01-23,16
EST_00028,보호펜스,2,106000,그린플레이,2020-01-07,2020-02-18,42
EST_00029,가로수보호덮개,1,89000,현대시스템,2020-01-07,2020-01-17,10
