Group_ID,Frequency,Location_Risk,Damage_Rate,First_Report_Date,Last_Report_Date,Elapsed_Days,Final_Score
GRP_1130,72,9.9,3,2025-01-03,2026-04-28,469,123.03
GRP_2446,51,9.6,3,2025-01-11,2026-04-22,461,105.88
GRP_0126,48,10.0,3,2025-01-02,2026-04-28,470,105.46
GRP_1068,59,9.3,2,2025-01-05,2026-04-28,467,104.15
GRP_2646,48,9.6,3,2025-01-23,2026-04-20,449,103.45
GRP_0111,54,8.3,3,2025-01-05,2026-03-18,467,103.13
GRP_0145,58,9.2,2,2025-01-02,2026-04-24,470,103.08
GRP_0854,47,9.6,3,2025-01-24,2026-04-28,448,102.65
GRP_2782,52,8.5,3,2025-01-09,2026-03-28,463,102.31
GRP_2475,45,9.9,3,2025-01-28,2026-04-23,444,102.29
GRP_2218,57,9.2,2,2025-01-06,2026-04-20,466,102.26
GRP_0054,50,8.8,3,2025-01-15,2026-04-29,457,101.87
GRP_2377,58,8.9,2,2025-01-07,2026-04-24,465,101.75
GRP_0533,48,9.0,3,2025-02-17,2026-04-20,424,100.55
GRP_2819,50,8.1,3,2025-01-01,2026-04-27,471,99.37
GRP_0129,59,6.3,3,2025-01-04,2026-04-20,468,98.84
GRP_2983,48,10.0,2,2025-01-11,2026-03-28,461,98.61
GRP_0539,52,7.3,3,2025-01-01,2026-04-25,471,97.69
GRP_2552,49,9.4,2,2025-01-10,2026-04-26,462,96.98
GRP_2606,50,9.1,2,2025-01-12,2026-04-25,460,96.48
GRP_1422,45,8.3,3,2025-01-04,2026-04-24,468,96.39
GRP_0579,51,8.8,2,2025-01-08,2026-04-28,464,96.09
GRP_1636,53,8.1,2,2025-01-10,2026-04-14,462,94.8
GRP_1517,45,7.7,3,2025-01-05,2026-04-29,467,93.96
GRP_2176,54,7.5,2,2025-01-18,2026-04-27,454,92.96
GRP_1065,45,9.1,2,2025-01-08,2026-04-19,464,92.82
GRP_1408,41,7.9,3,2025-01-01,2026-04-13,471,91.83
GRP_1624,56,6.8,2,2025-01-10,2026-04-05,462,91.82
GRP_1465,47,6.7,3,2025-01-19,2026-04-25,453,91.15
GRP_0529,35,8.9,3,2025-01-14,2026-04-21,458,91.03
GRP_0726,63,5.3,2,2025-01-22,2026-04-27,450,90.86
GRP_0487,53,7.1,2,2025-01-16,2026-04-23,456,90.69
GRP_0144,41,9.3,2,2025-01-05,2026-04-20,467,90.67
GRP_1605,50,7.6,2,2025-01-05,2026-04-16,467,90.61
GRP_0869,57,4.6,3,2025-01-06,2026-04-29,466,90.54
GRP_0906,55,4.6,3,2025-01-05,2026-04-29,467,89.04
GRP_2649,47,6.1,3,2025-01-21,2026-04-20,451,88.75
GRP_0835,48,7.4,2,2025-01-10,2026-04-26,462,88.24
GRP_0439,64,2.7,3,2025-01-05,2026-04-18,467,88.22
GRP_2691,60,3.4,3,2025-01-01,2026-04-23,471,88.05
GRP_1872,55,4.3,3,2025-01-05,2026-04-25,467,87.84
GRP_0241,49,8.9,1,2025-02-01,2026-04-13,440,87.83
GRP_2060,45,9.5,1,2025-01-11,2026-04-17,461,87.7
GRP_1891,53,4.8,3,2025-02-11,2026-04-29,430,87.64
GRP_0540,44,6.3,3,2025-01-04,2026-04-29,468,87.62
GRP_2614,51,5.0,3,2025-01-06,2026-04-26,466,87.58
GRP_2240,57,3.8,3,2025-01-01,2026-04-25,471,87.44
GRP_1410,40,7.0,3,2025-01-03,2026-04-28,469,87.41
GRP_1825,42,6.6,3,2025-01-06,2026-03-10,466,87.25
GRP_0865,40,8.6,2,2025-01-07,2026-04-27,465,87.05
GRP_2527,46,7.5,2,2025-01-16,2026-04-13,456,86.97
GRP_1037,45,9.4,1,2025-01-26,2026-04-26,446,86.95
