Group_ID,Frequency,Damage_Rate,Location_Risk,First_Report_Date,Last_Report_Date,Elapsed_Days,Final_Score
GRP_SEO_0015,7,2,6.6,2024-02-29,2025-05-19,445,70.85
GRP_SEO_0005,5,2,5.91,2024-07-04,2025-11-08,492,53.43
GRP_SEO_0031,12,3,7.34,2024-05-05,2025-11-26,570,155.52
GRP_SEO_0023,6,3,6.48,2024-03-02,2025-11-30,638,96.11
GRP_SEO_0026,8,3,9.09,2024-05-03,2025-10-29,544,157.93
GRP_SEO_0009,9,3,8.15,2024-04-17,2025-08-03,473,151.96
GRP_SEO_0004,4,3,6.8,2024-04-09,2025-05-12,398,83.56
GRP_SEO_0027,9,3,5.29,2024-03-31,2025-08-01,488,98.63
GRP_SEO_0017,12,3,3.51,2024-04-05,2025-09-20,533,74.37
GRP_SEO_0046,6,2,6.93,2024-03-30,2025-11-27,607,68.52
GRP_SEO_0048,8,3,8.03,2024-03-28,2025-07-27,486,139.51
GRP_SEO_0030,7,3,4.15,2024-04-15,2025-10-03,536,66.83
GRP_SEO_0043,8,3,2.25,2024-03-02,2025-07-22,507,39.09
GRP_SEO_0018,5,3,6.5,2024-08-26,2025-08-06,345,85.02
GRP_SEO_0032,4,3,5.87,2024-05-04,2025-01-04,245,56.81
GRP_SEO_0001,4,3,3.74,2024-07-14,2025-06-04,325,42.71
GRP_SEO_0028,2,2,3.27,2024-07-01,2024-11-26,148,13.09
GRP_SEO_0036,9,3,2.27,2024-02-22,2025-08-16,541,42.32
GRP_SEO_0014,5,3,3.79,2024-04-05,2025-10-04,547,51.39
GRP_SEO_0003,6,2,2.0,2024-06-13,2025-11-27,532,19.78
GRP_SEO_0002,8,3,3.18,2024-04-11,2025-11-04,572,55.25
GRP_SEO_0042,4,3,9.48,2024-02-28,2025-07-12,500,116.5
GRP_SEO_0038,5,3,7.85,2024-03-15,2025-10-02,566,106.45
GRP_SEO_0039,7,3,4.65,2024-04-07,2025-07-24,473,74.88
GRP_SEO_0034,10,3,4.96,2024-06-13,2025-10-19,493,98.78
GRP_SEO_0022,4,2,6.4,2024-12-03,2025-11-05,337,49.83
GRP_SEO_0021,7,3,5.88,2024-03-17,2025-10-23,585,94.68
GRP_SEO_0019,7,3,7.53,2024-05-15,2025-11-28,562,121.25
GRP_SEO_0033,6,2,2.51,2024-04-26,2025-09-23,515,24.82
GRP_SEO_0040,6,3,2.68,2024-12-13,2025-11-18,340,37.99
GRP_SEO_0013,4,2,4.13,2024-04-03,2024-10-06,186,23.12
GRP_SEO_0050,4,3,8.22,2024-04-20,2024-11-30,224,75.8
GRP_SEO_0010,5,2,8.86,2024-10-03,2025-08-23,324,74.28
GRP_SEO_0020,5,3,4.61,2024-05-19,2025-08-04,442,62.51
GRP_SEO_0037,9,3,9.22,2024-04-20,2025-11-03,562,171.91
GRP_SEO_0049,7,3,4.07,2024-07-19,2025-11-19,488,65.54
GRP_SEO_0029,5,3,6.55,2024-08-22,2025-11-15,450,88.82
GRP_SEO_0016,6,3,3.46,2024-04-10,2025-10-08,546,51.32
GRP_SEO_0047,5,3,8.97,2024-03-13,2025-05-04,417,121.63
GRP_SEO_0006,8,3,6.31,2024-03-21,2025-10-12,570,109.63
GRP_SEO_0044,7,3,3.96,2024-04-01,2025-11-19,597,63.77
GRP_SEO_0008,3,2,5.05,2024-02-01,2024-08-25,206,26.65
GRP_SEO_0035,6,3,2.8,2024-08-13,2025-11-19,463,41.53
GRP_SEO_0007,3,2,2.54,2024-04-22,2025-10-16,542,18.66
GRP_SEO_0024,7,3,4.21,2024-03-23,2025-11-26,613,67.79
GRP_SEO_0041,2,3,9.1,2024-06-30,2024-12-28,181,59.81
GRP_SEO_0045,5,3,8.02,2024-04-04,2025-05-27,418,108.75
GRP_SEO_0012,5,3,9.18,2024-05-30,2025-08-30,457,124.48
GRP_SEO_0025,2,3,8.57,2025-10-09,2025-12-01,53,37.4
GRP_SEO_0011,2,2,8.1,2024-02-14,2024-08-12,180,35.4
GRP_BUS_0005,9,3,6.31,2024-03-30,2025-09-30,549,117.65
GRP_BUS_0009,10,3,7.21,2024-03-20,2025-10-27,586,143.6
GRP_BUS_0022,7,3,9.25,2024-04-09,2025-08-13,491,148.95
