Report_ID,User_ID,Group_ID,Category,Item,Damage_Rate,Lat,Lng,Report_Date,Dept,Manager,Contact,Status
REP_00001,USER_3535,GRP_0209,운동시설물,그네,2,35.973651,129.35135,2025-01-01,시설관리과,정우성,010-3552-6217,처리완료
REP_00002,USER_9045,GRP_0227,운동시설물,농구대,3,36.002146,129.321146,2025-01-01,시설관리과,정우성,010-5145-5141,처리진행중
REP_00003,USER_6891,GRP_0269,보호시설물,보호시설물볼라드,2,35.963062,129.322469,2025-01-01,시설관리과,한상철,010-7914-3136,신고접수
REP_00004,USER_5130,GRP_0256,도시시설물,기타도시시설,1,36.044782,129.335973,2025-01-01,도로과,박지민,010-7075-1628,신고접수
REP_00005,USER_3114,GRP_0294,도시시설물,기타도시시설,2,35.980202,129.318081,2025-01-01,도로과,박지민,010-6240-5288,처리진행중
REP_00006,USER_5055,GRP_0064,보호시설물,보호시설물무단횡단방지시설,2,36.020635,129.317075,2025-01-01,시설관리과,한상철,010-9682-9657,신고접수
REP_00007,USER_7869,GRP_0157,보호시설물,보호펜스,3,36.05168,129.302774,2025-01-01,시설관리과,한상철,010-8015-2308,처리진행중
REP_00008,USER_9312,GRP_0205,운동시설물,미끄럼틀,3,36.059715,129.314433,2025-01-01,시설관리과,한석원,010-2114-8491,처리진행중
REP_00009,USER_9685,GRP_0174,휴게시설물,등받이있는벤치,3,36.003274,129.29516,2025-01-01,공원녹지과,강하늘,010-1922-6616,처리완료
REP_00010,USER_6664,GRP_0138,운동시설물,그네,3,36.030461,129.34267,2025-01-01,시설관리과,한석원,010-4976-7329,신고접수
REP_00011,USER_1104,GRP_0114,보호시설물,보호시설물볼라드,2,36.034865,129.306887,2025-01-01,시설관리과,한상철,010-6615-5596,처리진행중
REP_00012,USER_4538,GRP_0165,보호시설물,보호펜스,1,36.040196,129.369771,2025-01-01,시설관리과,한석원,010-3402-7866,처리완료
REP_00013,USER_1890,GRP_0055,녹지시설물,가로수보호덮개,2,36.001093,129.302721,2025-01-01,공원녹지과,최두식,010-4782-6180,처리진행중
REP_00014,USER_3235,GRP_0244,도시시설물,기타도시시설,3,36.002392,129.349343,2025-01-01,도로과,한원석,010-8361-3079,처리진행중
REP_00015,USER_6966,GRP_0106,통행시설물,맨홀,3,36.047341,129.298211,2025-01-01,도로과,이영후,010-6491-8640,신고접수
