Report_ID,User_ID,Group_ID,Category,Item,Damage_Rate,Lat,Lng,Report_Date,Dept,Manager,Contact,Status
REP_SEO_00001,USER_14117,GRP_SEO_0015,휴게시설물,등받이있는벤치,1,37.626029,127.111322,2024-09-21,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00002,USER_84847,GRP_SEO_0005,휴게시설물,등받이없는벤치,2,37.577608,127.067601,2024-09-06,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00003,USER_96374,GRP_SEO_0031,휴게시설물,등받이있는벤치,1,37.548435,127.032802,2024-08-12,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00004,USER_22899,GRP_SEO_0023,보호시설물,보호시설물볼라드,3,37.551177,126.879188,2025-11-30,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00005,USER_80292,GRP_SEO_0026,통행시설물,보차도경계석,1,37.608303,126.984306,2024-10-11,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00006,USER_82132,GRP_SEO_0009,보호시설물,보호시설물볼라드,2,37.501849,126.970135,2024-04-17,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00007,USER_40982,GRP_SEO_0004,휴게시설물,등받이있는벤치,3,37.521106,127.006561,2024-05-05,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00008,USER_10282,GRP_SEO_0027,통행시설물,점자블록,1,37.544727,127.149167,2024-03-31,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00009,USER_82845,GRP_SEO_0017,보호시설물,보호시설물볼라드,2,37.511923,126.963086,2025-04-08,시설관리과,정현우,010-8877-6655,처리진행중
REP_SEO_00010,USER_81066,GRP_SEO_0046,통행시설물,점자블록,2,37.644117,127.129323,2024-03-30,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00011,USER_79615,GRP_SEO_0048,보호시설물,보호시설물볼라드,3,37.557249,127.010007,2025-06-28,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00012,USER_98501,GRP_SEO_0004,휴게시설물,등받이있는벤치,2,37.521167,127.006469,2024-04-10,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00013,USER_91183,GRP_SEO_0026,통행시설물,보차도경계석,2,37.608181,126.984324,2025-09-14,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00014,USER_51180,GRP_SEO_0027,통행시설물,점자블록,1,37.544761,127.149238,2024-10-24,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00015,USER_19508,GRP_SEO_0017,보호시설물,보호시설물볼라드,2,37.511817,126.963063,2025-05-13,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00016,USER_76307,GRP_SEO_0030,통행시설물,맨홀,2,37.615717,126.982439,2024-04-15,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00017,USER_67433,GRP_SEO_0009,보호시설물,보호시설물볼라드,1,37.501951,126.970255,2025-02-12,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00018,USER_82692,GRP_SEO_0046,통행시설물,점자블록,1,37.64408,127.129482,2025-07-25,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00019,USER_82512,GRP_SEO_0043,휴게시설물,등받이있는벤치,3,37.646288,127.01456,2024-05-28,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00020,USER_44600,GRP_SEO_0018,통행시설물,보차도경계석,2,37.600757,127.058171,2024-08-26,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00021,USER_46265,GRP_SEO_0032,통행시설물,트랜치,2,37.572254,127.141694,2024-05-04,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00022,USER_82309,GRP_SEO_0001,휴게시설물,등받이있는벤치,2,37.489093,126.939685,2024-07-14,공원녹지과,윤서연,010-3344-5566,신고접수
REP_SEO_00023,USER_58393,GRP_SEO_0028,통행시설물,맨홀,2,37.569084,126.886286,2024-07-01,도로과,조성민,010-2233-4455,처리진행중
REP_SEO_00024,USER_15229,GRP_SEO_0036,통행시설물,보차도경계석,3,37.645291,127.080895,2025-02-07,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00025,USER_63264,GRP_SEO_0014,휴게시설물,등받이없는벤치,3,37.594145,127.084223,2025-08-26,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00026,USER_13248,GRP_SEO_0048,보호시설물,보호시설물볼라드,3,37.557217,127.010183,2024-07-30,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00027,USER_24168,GRP_SEO_0048,보호시설물,보호시설물볼라드,1,37.557371,127.010153,2024-10-11,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00028,USER_39831,GRP_SEO_0003,휴게시설물,등받이있는벤치,2,37.582503,126.869161,2025-01-23,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00029,USER_46585,GRP_SEO_0002,통행시설물,보도블록,3,37.508056,126.889703,2024-04-11,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00030,USER_44237,GRP_SEO_0042,휴게시설물,등받이있는벤치,1,37.499135,127.000973,2024-02-28,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00031,USER_51114,GRP_SEO_0038,통행시설물,보도블록,2,37.510311,127.081081,2025-10-02,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00032,USER_67154,GRP_SEO_0039,휴게시설물,등받이없는벤치,1,37.583923,127.001619,2024-10-17,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00033,USER_19171,GRP_SEO_0034,통행시설물,보차도경계석,2,37.611904,126.958659,2024-08-19,도로과,조성민,010-2233-4455,처리진행중
REP_SEO_00034,USER_97410,GRP_SEO_0022,휴게시설물,등받이없는벤치,2,37.522818,126.869342,2024-12-03,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00035,USER_59695,GRP_SEO_0021,통행시설물,보도블록,2,37.597942,127.104386,2024-08-14,도로과,김도현,010-3245-8612,처리진행중
REP_SEO_00036,USER_10053,GRP_SEO_0048,보호시설물,보호시설물볼라드,2,37.557367,127.01012,2025-03-21,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00037,USER_98555,GRP_SEO_0019,휴게시설물,등받이있는벤치,2,37.585449,126.909687,2025-05-21,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00038,USER_97012,GRP_SEO_0033,휴게시설물,등받이없는벤치,1,37.597241,126.8933,2024-04-26,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00039,USER_36100,GRP_SEO_0040,휴게시설물,등받이있는벤치,1,37.638268,127.114893,2024-12-13,공원녹지과,박민지,010-7821-3456,처리완료
